# ra dec
3.41089 -0.33685
3.42347 -0.37606
3.39638 -0.30421
3.37029 -0.28256
3.44824 -0.41176
3.42858 -0.37918
3.42148 -0.37114
3.42032 -0.34505
3.41348 -0.35838
3.40218 -0.35689
3.43208 -0.41021
3.41371 -0.33067
3.41884 -0.36229
3.38445 -0.32018
3.37623 -0.31230
3.42775 -0.36417
3.39061 -0.30973
3.38835 -0.30727
3.42294 -0.36160
3.39626 -0.33069
3.40013 -0.34488
3.42827 -0.37337
3.41586 -0.32837
3.40790 -0.33396
3.40413 -0.33628
3.42685 -0.36014
3.42966 -0.33776
3.41515 -0.35205
3.41630 -0.36717
3.38852 -0.30173
3.42020 -0.34912
3.38845 -0.30708
3.36609 -0.29235
3.40941 -0.33600
3.45014 -0.38032
3.43815 -0.38454
3.41727 -0.33637
3.39975 -0.33921
3.40182 -0.33253
3.41736 -0.34489
3.36617 -0.29350
3.43083 -0.39257
3.41234 -0.36324
3.45856 -0.38996
3.41879 -0.34311
3.43801 -0.39865
3.44762 -0.41212
3.45778 -0.42244
3.43086 -0.38614
3.42158 -0.36469
3.41105 -0.34349
3.42412 -0.35766
3.42795 -0.38653
3.41630 -0.33694
3.43259 -0.40621
3.39041 -0.34375
3.40696 -0.34822
3.39511 -0.30431
3.41237 -0.35484
3.41442 -0.34350
3.44927 -0.43556
3.38043 -0.32328
3.40546 -0.33721
3.43314 -0.38116
3.44364 -0.41306
3.37324 -0.28429
3.42868 -0.39221
3.41240 -0.38258
3.40815 -0.32909
3.39700 -0.33701
3.41288 -0.35274
3.40871 -0.33203
3.43317 -0.41072
3.41721 -0.35803
3.36899 -0.28757
3.40313 -0.32152
3.39156 -0.31332
3.39086 -0.29236
3.42243 -0.33704
3.44473 -0.42249
3.42252 -0.35510
3.42518 -0.38354
3.46211 -0.39850
3.39819 -0.34008
3.38319 -0.28984
3.42857 -0.38807
3.45113 -0.41323
3.38996 -0.29827
3.40760 -0.35219
3.40412 -0.33508
3.44676 -0.38673
3.39663 -0.29919
3.42073 -0.37264
3.42961 -0.38379
3.42004 -0.36867
3.38206 -0.31417
3.41115 -0.34874
3.40138 -0.29771
3.42229 -0.36438
3.38801 -0.29806
3.41590 -0.36427
3.36702 -0.26582
3.41120 -0.34912
3.38777 -0.30578
3.37015 -0.27340
3.43253 -0.36747
3.42178 -0.36523
3.43550 -0.36937
3.37582 -0.29106
3.41584 -0.33652
3.40816 -0.32409
3.41861 -0.38373
3.39865 -0.32130
3.41959 -0.36403
3.39676 -0.34867
3.39486 -0.33385
3.41074 -0.32493
3.40866 -0.32642
3.42876 -0.36454
3.40101 -0.33442
3.42850 -0.37826
3.41018 -0.37471
3.40606 -0.32939
3.40101 -0.31357
3.39948 -0.29762
3.41972 -0.35781
3.42800 -0.34262
3.42107 -0.36413
3.38713 -0.30885
3.45103 -0.38377
