# ra dec
3.42533 -0.37279
3.40613 -0.35613
3.43515 -0.38186
3.41952 -0.35461
3.40415 -0.33160
3.40027 -0.33464
3.43353 -0.37929
3.40961 -0.33525
3.41836 -0.36527
3.38620 -0.31710
3.40041 -0.31356
3.44534 -0.40153
3.39848 -0.31612
3.42178 -0.37689
3.38463 -0.31268
3.44718 -0.41877
3.46916 -0.41773
3.42328 -0.38112
3.40688 -0.34625
3.39125 -0.32633
3.38430 -0.31741
3.41006 -0.33578
3.43609 -0.39598
3.40370 -0.32144
3.43156 -0.39316
3.39497 -0.31560
3.44035 -0.37192
3.38655 -0.31465
3.37806 -0.28946
3.44639 -0.40591
3.44107 -0.41317
3.43612 -0.38435
3.44265 -0.41625
3.41298 -0.35453
3.43011 -0.34704
3.39942 -0.30697
3.38650 -0.29910
3.42098 -0.36571
3.41182 -0.34640
3.43515 -0.37241
3.40764 -0.35664
3.41836 -0.32977
3.40722 -0.33955
3.44607 -0.43577
3.44074 -0.41248
3.42073 -0.37861
3.43890 -0.41019
3.44338 -0.43022
3.42956 -0.40550
3.42122 -0.39417
3.39808 -0.32257
3.41523 -0.35793
3.39699 -0.31440
3.37165 -0.27406
3.41666 -0.33113
3.43296 -0.38359
3.41366 -0.36394
3.40277 -0.32417
3.39205 -0.31587
3.44713 -0.39977
3.45824 -0.44686
3.43039 -0.40386
3.40405 -0.31727
3.44121 -0.41420
3.42281 -0.35401
3.41801 -0.32399
3.42204 -0.37494
3.41906 -0.36679
3.39110 -0.30686
3.36264 -0.26893
3.39352 -0.32582
3.43432 -0.37103
3.42042 -0.35681
3.43096 -0.38414
3.43643 -0.38707
3.34951 -0.25437
3.38696 -0.30476
3.39021 -0.30977
3.45136 -0.39320
3.37464 -0.26267
3.42384 -0.34408
3.43036 -0.39130
3.44940 -0.37503
3.40044 -0.33668
3.41547 -0.36247
3.42423 -0.36084
3.37964 -0.29932
3.42170 -0.37547
3.41503 -0.35736
3.39185 -0.32296
3.39571 -0.30619
3.39376 -0.29781
3.41393 -0.36485
3.39479 -0.31449
3.43963 -0.37406
3.42364 -0.34275
3.37428 -0.27800
3.47060 -0.44952
3.40060 -0.32360
3.43136 -0.33716
3.40641 -0.34916
3.40742 -0.32536
3.42736 -0.36615
3.41820 -0.36295
3.43574 -0.38731
3.43770 -0.40776
3.39356 -0.31017
3.43971 -0.39629
3.41031 -0.35736
3.41523 -0.35518
3.37561 -0.32159
3.41902 -0.34978
3.41651 -0.37465
3.38835 -0.32819
3.40826 -0.35246
3.42050 -0.35997
3.42175 -0.36133
3.38466 -0.30238
3.38822 -0.30689
3.43103 -0.36482
3.39767 -0.32440
3.42641 -0.37903
3.38081 -0.30062
3.44088 -0.39725
3.44340 -0.38942
3.42155 -0.34070
3.39372 -0.31999
3.40463 -0.31210
3.41819 -0.36438
3.40996 -0.32868
3.42938 -0.36046
3.45829 -0.43032
3.39789 -0.34076
3.41222 -0.33045
3.41064 -0.36264
3.41411 -0.33432
3.39042 -0.31855
3.40056 -0.33230
3.40440 -0.33781
3.41299 -0.35921
3.40050 -0.30801
3.36981 -0.28018
3.43251 -0.37383
3.39663 -0.32663
3.38929 -0.30766
3.39519 -0.32564
3.40026 -0.30479
3.39372 -0.33902
3.44386 -0.38578
3.40915 -0.34839
3.39430 -0.30593
3.41222 -0.35634
3.37773 -0.28813
3.39586 -0.32572
3.40944 -0.34605
